Name,P24,P26,P28,P33,P37,P20,P22,P40
1,1.29,1.42,20.4,16.2,550,376.5407111,-6.298033237,116.0139925
2,1.21,1.88,16.8,25.2,560,402.6060651,-4.488122463,100.7793093
3,1.47,1.44,17.4,18,470,375.8095257,-7.149284363,105.347799
4,1.32,1.62,12,17.4,565,368.6716353,-5.090274811,101.1743411
5,1.45,1.94,16.2,15,545,369.19477,-5.992769241,93.68237681
6,1.44,1.6,22.8,21.6,485,397.1649495,-6.033471584,104.4389879
7,1.42,1.8,24,12.6,570,373.5662202,-6.885059357,110.7473421
8,1.23,1.5,15.6,27.6,495,404.433523,-5.025877476,105.6152398
9,1.24,1.98,23.4,18.6,520,391.1629998,-5.718288422,101.6723933
10,1.38,1.74,12.6,30,515,409.6068705,-4.253567219,88.75336065
11,1.41,1.48,13.8,20.4,585,381.2039043,-4.91449976,109.7277281
12,1.34,1.4,24.6,24.6,510,408.9615383,-5.908661842,120.1170288
13,1.37,1.7,19.8,24,450,399.6476181,-5.733625412,96.10556278
14,1.3,1.58,18,27,535,408.0720719,-4.830588341,105.8340425
15,1.2,1.68,30,21,540,407.7584381,-5.838219166,116.0572711
16,1.26,1.46,27.6,22.8,575,409.8026509,-5.640727043,113.1321148
17,1.27,1.84,13.2,19.8,465,376.6212008,-5.711792946,87.54343331
18,1.28,1.78,26.4,28.8,475,426.3083569,-5.273343563,106.8533844
19,1.39,1.52,29.4,13.2,525,380.7746771,-8.98903656,118.2723976
20,1.49,1.82,14.4,23.4,530,392.3546444,-4.69427681,95.8008225
21,1.33,1.96,21.6,28.2,580,421.1057285,-4.431570053,102.3991939
22,1.25,1.76,18.6,13.8,595,369.1491496,-5.465390205,107.0943516
23,1.22,1.56,22.2,14.4,455,371.4930485,-10.71381283,111.9534706
24,1.31,1.9,25.2,15.6,490,383.1114085,-7.888259888,107.2515909
25,1.4,2,19.2,22.2,500,396.081377,-4.931084633,88.87282431
26,1.48,1.64,21,25.8,600,411.519066,-4.655918121,108.6047918
27,1.46,1.54,25.8,29.4,555,428.6227293,-5.159396172,115.8564081
28,1.36,1.86,28.2,19.2,590,402.0441203,-5.309016228,111.8921569
29,1.5,1.72,27,16.8,505,389.5358367,-6.972262383,114.6124219
30,1.43,1.92,28.8,26.4,460,422.8967404,-5.697402,110.7130905
31,1.35,1.66,15,12,480,353.9579024,-12.16357517,103.3719538
